trajectory,dt,action_index,frustration
astropy-13398,0,38,1.000000
astropy-13398,0,39,1.000000
astropy-13398,0,40,1.000000
astropy-13398,0,41,1.000000
astropy-13398,0,42,1.000000
astropy-13398,0,43,1.000000
astropy-13398,0,44,1.000000
astropy-13398,0,45,1.000000
astropy-13398,0,46,1.000000
astropy-13398,0,47,1.000000
astropy-13398,0,48,1.000000
astropy-13398,0,49,1.000000
astropy-13398,0,50,1.000000
astropy-13398,0,51,1.000000
astropy-13398,0,52,1.000000
astropy-13398,0,53,1.000000
astropy-13398,0,54,1.000000
astropy-13398,0,55,1.000000
astropy-13398,5,0,0.100000
astropy-13398,5,1,0.100000
astropy-13398,5,2,0.100000
astropy-13398,5,3,0.150000
astropy-13398,5,4,0.148858
astropy-13398,5,5,0.147742
astropy-13398,5,6,0.146652
astropy-13398,5,7,0.145586
astropy-13398,5,8,0.194545
astropy-13398,5,9,0.342386
astropy-13398,5,10,0.336849
astropy-13398,5,11,0.331440
astropy-13398,5,12,0.426154
astropy-13398,5,13,0.518704
astropy-13398,5,14,0.610562
astropy-13398,5,15,0.700632
astropy-13398,5,16,0.788952
astropy-13398,5,17,0.775553
astropy-13398,5,18,0.760123
astropy-13398,5,19,0.745046
astropy-13398,5,20,0.730313
astropy-13398,5,21,0.765917
astropy-13398,5,22,0.750707
astropy-13398,5,23,0.735845
astropy-13398,5,24,0.721322
astropy-13398,5,25,0.707131
astropy-13398,5,26,0.693265
astropy-13398,5,27,0.679714
astropy-13398,5,28,0.666474
astropy-13398,5,29,0.753535
astropy-13398,5,30,0.738609
astropy-13398,5,31,0.724023
astropy-13398,5,32,0.709770
astropy-13398,5,33,0.695843
astropy-13398,5,34,0.682234
astropy-13398,5,35,0.668936
astropy-13398,5,36,0.655941
astropy-13398,5,37,0.643243
astropy-13398,5,38,0.680836
astropy-13398,5,39,0.667569
astropy-13398,5,40,0.654606
astropy-13398,5,41,0.641939
astropy-13398,5,42,0.629561
astropy-13398,5,43,0.617466
astropy-13398,5,44,0.605647
astropy-13398,5,45,0.694098
astropy-13398,5,46,0.680529
astropy-13398,5,47,0.667269
astropy-13398,5,48,0.654313
astropy-13398,5,49,0.641652
astropy-13398,5,50,0.629281
astropy-13398,5,51,0.617192
astropy-13398,5,52,0.605380
astropy-13398,5,53,0.593837
astropy-13398,5,54,0.582557
astropy-13398,5,55,0.571536
astropy-13398,15,0,0.100000
astropy-13398,15,1,0.100000
astropy-13398,15,2,0.100000
astropy-13398,15,3,0.150000
astropy-13398,15,4,0.146652
astropy-13398,15,5,0.143528
astropy-13398,15,6,0.140613
astropy-13398,15,7,0.137893
astropy-13398,15,8,0.185355
astropy-13398,15,9,0.329639
astropy-13398,15,10,0.314261
astropy-13398,15,11,0.299913
astropy-13398,15,12,0.386525
astropy-13398,15,13,0.467337
astropy-13398,15,14,0.546320
astropy-13398,15,15,0.620784
astropy-13398,15,16,0.690987
astropy-13398,15,17,0.657173
astropy-13398,15,18,0.619861
astropy-13398,15,19,0.585047
astropy-13398,15,20,0.552565
astropy-13398,15,21,0.572258
astropy-13398,15,22,0.540633
astropy-13398,15,23,0.511125
astropy-13398,15,24,0.483593
astropy-13398,15,25,0.457905
astropy-13398,15,26,0.433937
astropy-13398,15,27,0.411574
astropy-13398,15,28,0.390709
astropy-13398,15,29,0.471241
astropy-13398,15,30,0.446380
astropy-13398,15,31,0.423184
astropy-13398,15,32,0.401542
astropy-13398,15,33,0.381348
astropy-13398,15,34,0.362507
astropy-13398,15,35,0.344928
astropy-13398,15,36,0.328526
astropy-13398,15,37,0.313222
astropy-13398,15,38,0.348943
astropy-13398,15,39,0.332272
astropy-13398,15,40,0.316718
astropy-13398,15,41,0.302205
astropy-13398,15,42,0.288664
astropy-13398,15,43,0.276029
astropy-13398,15,44,0.264241
astropy-13398,15,45,0.353243
astropy-13398,15,46,0.336284
astropy-13398,15,47,0.320460
astropy-13398,15,48,0.305697
astropy-13398,15,49,0.291922
astropy-13398,15,50,0.279070
astropy-13398,15,51,0.267078
astropy-13398,15,52,0.255889
astropy-13398,15,53,0.245450
astropy-13398,15,54,0.235709
astropy-13398,15,55,0.226621
astropy-13398,60,0,0.100000
astropy-13398,60,1,0.100000
astropy-13398,60,2,0.100000
astropy-13398,60,3,0.150000
astropy-13398,60,4,0.137893
astropy-13398,60,5,0.128717
astropy-13398,60,6,0.121764
astropy-13398,60,7,0.116494
astropy-13398,60,8,0.162500
astropy-13398,60,9,0.297366
astropy-13398,60,10,0.249576
astropy-13398,60,11,0.213357
astropy-13398,60,12,0.285909
astropy-13398,60,13,0.340892
astropy-13398,60,14,0.382562
astropy-13398,60,15,0.414142
astropy-13398,60,16,0.438075
astropy-13398,60,17,0.356213
astropy-13398,60,18,0.294173
astropy-13398,60,19,0.247156
astropy-13398,60,20,0.211523
astropy-13398,60,21,0.226076
astropy-13398,60,22,0.195548
astropy-13398,60,23,0.172412
astropy-13398,60,24,0.154878
astropy-13398,60,25,0.141590
astropy-13398,60,26,0.131519
astropy-13398,60,27,0.123887
astropy-13398,60,28,0.118103
astropy-13398,60,29,0.213719
astropy-13398,60,30,0.186183
astropy-13398,60,31,0.165315
astropy-13398,60,32,0.149499
astropy-13398,60,33,0.137513
astropy-13398,60,34,0.128430
astropy-13398,60,35,0.121546
astropy-13398,60,36,0.116329
astropy-13398,60,37,0.112375
astropy-13398,60,38,0.159378
astropy-13398,60,39,0.145000
astropy-13398,60,40,0.134104
astropy-13398,60,41,0.125846
astropy-13398,60,42,0.119588
astropy-13398,60,43,0.114845
astropy-13398,60,44,0.111250
astropy-13398,60,45,0.208526
astropy-13398,60,46,0.182247
astropy-13398,60,47,0.162332
astropy-13398,60,48,0.147239
astropy-13398,60,49,0.135800
astropy-13398,60,50,0.127131
astropy-13398,60,51,0.120562
astropy-13398,60,52,0.115583
astropy-13398,60,53,0.111810
astropy-13398,60,54,0.108950
astropy-13398,60,55,0.106783
astropy-13453,0,0,0.100000
astropy-13453,0,1,0.100000
astropy-13453,0,2,0.150000
astropy-13453,0,3,0.150000
astropy-13453,0,4,0.200000
astropy-13453,0,5,0.350000
astropy-13453,0,6,0.350000
astropy-13453,0,7,0.350000
astropy-13453,0,8,0.350000
astropy-13453,0,9,0.350000
astropy-13453,0,10,0.350000
astropy-13453,0,11,0.407500
astropy-13453,0,12,0.557500
astropy-13453,0,13,0.807500
astropy-13453,0,14,1.000000
astropy-13453,0,15,1.000000
astropy-13453,0,16,1.000000
astropy-13453,0,17,1.000000
astropy-13453,0,18,1.000000
astropy-13453,0,19,1.000000
astropy-13453,0,20,1.000000
astropy-13453,0,21,1.000000
astropy-13453,0,22,1.000000
astropy-13453,0,23,1.000000
astropy-13453,0,24,1.000000
astropy-13453,0,25,1.000000
astropy-13453,0,26,1.000000
astropy-13453,0,27,1.000000
astropy-13453,0,28,1.000000
astropy-13453,0,29,1.000000
astropy-13453,0,30,1.000000
astropy-13453,5,0,0.100000
astropy-13453,5,1,0.100000
astropy-13453,5,2,0.150000
astropy-13453,5,3,0.148858
astropy-13453,5,4,0.197742
astropy-13453,5,5,0.345510
astropy-13453,5,6,0.339902
astropy-13453,5,7,0.334423
astropy-13453,5,8,0.329069
astropy-13453,5,9,0.323837
astropy-13453,5,10,0.318724
astropy-13453,5,11,0.363729
astropy-13453,5,12,0.507705
astropy-13453,5,13,0.748393
astropy-13453,5,14,0.985783
astropy-13453,5,15,0.968557
astropy-13453,5,16,0.951666
astropy-13453,5,17,1.000000
astropy-13453,5,18,1.000000
astropy-13453,5,19,1.000000
astropy-13453,5,20,0.979444
astropy-13453,5,21,0.959357
astropy-13453,5,22,0.989730
astropy-13453,5,23,0.969408
astropy-13453,5,24,0.949551
astropy-13453,5,25,0.930147
astropy-13453,5,26,0.911187
astropy-13453,5,27,0.892659
astropy-13453,5,28,0.874555
astropy-13453,5,29,0.856864
astropy-13453,5,30,0.839577
astropy-13453,15,0,0.100000
astropy-13453,15,1,0.100000
astropy-13453,15,2,0.150000
astropy-13453,15,3,0.146652
astropy-13453,15,4,0.193528
astropy-13453,15,5,0.337264
astropy-13453,15,6,0.321375
astropy-13453,15,7,0.306551
astropy-13453,15,8,0.292718
astropy-13453,15,9,0.279813
astropy-13453,15,10,0.267771
astropy-13453,15,11,0.306536
astropy-13453,15,12,0.442705
astropy-13453,15,13,0.669755
astropy-13453,15,14,0.887156
astropy-13453,15,15,0.842119
astropy-13453,15,16,0.799658
astropy-13453,15,17,0.852804
astropy-13453,15,18,0.902391
astropy-13453,15,19,0.948657
astropy-13453,15,20,0.891825
astropy-13453,15,21,0.838799
astropy-13453,15,22,0.839324
astropy-13453,15,23,0.789814
astropy-13453,15,24,0.743619
astropy-13453,15,25,0.700518
astropy-13453,15,26,0.660303
astropy-13453,15,27,0.622781
astropy-13453,15,28,0.587772
astropy-13453,15,29,0.555107
astropy-13453,15,30,0.524630
astropy-13453,60,0,0.100000
astropy-13453,60,1,0.100000
astropy-13453,60,2,0.150000
astropy-13453,60,3,0.137893
astropy-13453,60,4,0.178717
astropy-13453,60,5,0.309657
astropy-13453,60,6,0.258890
astropy-13453,60,7,0.220416
astropy-13453,60,8,0.191258
astropy-13453,60,9,0.169161
astropy-13453,60,10,0.152414
astropy-13453,60,11,0.189723
astropy-13453,60,12,0.317997
astropy-13453,60,13,0.515211
astropy-13453,60,14,0.678034
astropy-13453,60,15,0.556670
astropy-13453,60,16,0.446092
astropy-13453,60,17,0.452288
astropy-13453,60,18,0.466985
astropy-13453,60,19,0.478122
astropy-13453,60,20,0.386563
astropy-13453,60,21,0.317174
astropy-13453,60,22,0.314587
astropy-13453,60,23,0.262627
astropy-13453,60,24,0.223248
astropy-13453,60,25,0.193405
astropy-13453,60,26,0.170787
astropy-13453,60,27,0.153647
